PERSON500	plays from 	ORGANIZATION502	85
ORGANIZATION501	plays from 	ORGANIZATION502	85
PERSON503	known 	PERSON504	86
PERSON503	known 	PERSON505	86
PERSON503	known from 	ORGANIZATION101	86
PERSON504		PERSON505	86
PERSON504	plays for 	ORGANIZATION506	86
PERSON504	known from 	ORGANIZATION101	86
PERSON505	plays for 	ORGANIZATION506	86
PERSON505	known from 	ORGANIZATION101	86
PERSON507	plays for 	ORGANIZATION287	87
PERSON507	plays from 	LOCATION33	87
ORGANIZATION287	plays from 	LOCATION33	87
PERSON511		LOCATION512	88
PERSON511	plays for 	ORGANIZATION28	88
PERSON511	plays in 	LOCATION222	88
LOCATION512	plays for 	ORGANIZATION28	88
LOCATION512	plays in 	LOCATION222	88
ORGANIZATION28	in 	LOCATION222	88
PERSON523	plays for 	ORGANIZATION524	89
PERSON523	plays 	LOCATION514	89
ORGANIZATION524		LOCATION514	89
ORGANIZATION530		LOCATION100	91
ORGANIZATION530		LOCATION531	91
ORGANIZATION530	on 	LOCATION532	91
ORGANIZATION530	in 	LOCATION309	91
LOCATION100		LOCATION531	91
LOCATION100	on 	LOCATION532	91
LOCATION100	in 	LOCATION309	91
LOCATION531	on 	LOCATION532	91
LOCATION531	in 	LOCATION309	91
LOCATION532	in 	LOCATION309	91
PERSON542	1986 in 	ORGANIZATION287	92
PERSON542	plays for 	ORGANIZATION67	92
PERSON543	playing for 	PERSON302	93
PERSON543	playing from 	LOCATION544	93
PERSON302	playing from 	LOCATION544	93
PERSON552	born 1986 	LOCATION553	94
PERSON565	born 	LOCATION125	95
PERSON565	born in 	LOCATION126	95
LOCATION125	in 	LOCATION126	95
PERSON565		LOCATION100	95
PERSON565	plays for 	ORGANIZATION124	95
LOCATION100	plays for 	ORGANIZATION124	95
PERSON570	plays for 	ORGANIZATION1	96
PERSON570	plays in 	LOCATION222	96
PERSON570	plays 	LOCATION571	96
ORGANIZATION1	in 	LOCATION222	96
ORGANIZATION1		LOCATION571	96
LOCATION222		LOCATION571	96
PERSON580	born in 	LOCATION581	97
PERSON580	simply 	PERSON582	97
PERSON580	simply plays for 	ORGANIZATION583	97
PERSON580	simply plays from 	ORGANIZATION124	97
PERSON582	plays for 	ORGANIZATION583	97
PERSON582	plays from 	ORGANIZATION124	97
ORGANIZATION583	plays from 	ORGANIZATION124	97
PERSON591	plays for 	ORGANIZATION63	99
PERSON592	born in 	LOCATION531	100
LOCATION532		LOCATION309	100
PERSON592		LOCATION100	100
PERSON595	known 	PERSON596	101
PERSON606	born 	LOCATION99	102
PERSON606	born in 	LOCATION177	102
LOCATION99	in 	LOCATION177	102
PERSON606	simply 	PERSON607	102
PERSON606	simply 	LOCATION100	102
PERSON607		LOCATION100	102
PERSON613	born in 	LOCATION614	103
PERSON613	plays for 	ORGANIZATION615	103
PERSON616	born 	LOCATION617	104
PERSON616	born in 	LOCATION618	104
LOCATION617	in 	LOCATION618	104
PERSON616	simply 	LOCATION100	104
PERSON616	simply plays for 	ORGANIZATION583	104
LOCATION100	plays for 	ORGANIZATION583	104
PERSON621	known 	PERSON622	105
PERSON622	plays for 	ORGANIZATION623	105
PERSON622	plays in 	LOCATION222	105
ORGANIZATION623	in 	LOCATION222	105
PERSON624		LOCATION100	106
PERSON624	plays for 	ORGANIZATION594	106
PERSON624	plays from 	ORGANIZATION625	106
LOCATION100	plays for 	ORGANIZATION594	106
LOCATION100	plays from 	ORGANIZATION625	106
ORGANIZATION594	plays from 	ORGANIZATION625	106
PERSON626	born in 	LOCATION627	107
PERSON626	plays for 	ORGANIZATION374	107
PERSON634	plays for 	ORGANIZATION635	109
PERSON634	plays in 	LOCATION636	109
ORGANIZATION635	in 	LOCATION636	109
PERSON641	plays for 	ORGANIZATION642	110
PERSON651		LOCATION74	111
PERSON651	in 	LOCATION42	111
LOCATION74	in 	LOCATION42	111
LOCATION653		PERSON654	112
LOCATION653	born 	LOCATION655	112
LOCATION653	born in 	LOCATION656	112
PERSON654	born 	LOCATION655	112
PERSON654	born in 	LOCATION656	112
LOCATION655	in 	LOCATION656	112
LOCATION653		PERSON654	112
LOCATION653		LOCATION100	112
LOCATION653	plays for 	ORGANIZATION327	112
PERSON654		LOCATION100	112
PERSON654	plays for 	ORGANIZATION327	112
LOCATION100	plays for 	ORGANIZATION327	112
PERSON657	born 1991 	LOCATION658	113
ORGANIZATION663		ORGANIZATION549	114
ORGANIZATION663		LOCATION544	114
ORGANIZATION663	from 	LOCATION258	114
ORGANIZATION549		LOCATION544	114
ORGANIZATION549	from 	LOCATION258	114
LOCATION544	from 	LOCATION258	114
PERSON666	plays for 	ORGANIZATION71	116
ORGANIZATION71	co-owned with 	ORGANIZATION388	116
PERSON676	nicknamed 	LOCATION100	117
PERSON676	nicknamed 	LOCATION222	117
LOCATION100	plays for 	ORGANIZATION524	117
LOCATION100	nicknamed 	LOCATION222	117
ORGANIZATION683		LOCATION684	118
ORGANIZATION683		ORGANIZATION685	118
ORGANIZATION683		LOCATION94	118
ORGANIZATION683	in 	LOCATION686	118
LOCATION684		ORGANIZATION685	118
LOCATION684		LOCATION94	118
LOCATION684	in 	LOCATION686	118
ORGANIZATION685		LOCATION94	118
ORGANIZATION685	in 	LOCATION686	118
LOCATION94	in 	LOCATION686	118
ORGANIZATION691		LOCATION692	119
ORGANIZATION691	in 	LOCATION693	119
LOCATION692	in 	LOCATION693	119
PERSON702		LOCATION703	120
PERSON702	in 	LOCATION704	120
LOCATION703	in 	LOCATION704	120
PERSON711	plays for 	LOCATION712	121
PERSON720	playing for 	LOCATION721	122
PERSON733	plays for 	ORGANIZATION734	123
PERSON733	plays in 	ORGANIZATION735	123
ORGANIZATION734	in 	ORGANIZATION735	123
PERSON743	born 	LOCATION744	124
PERSON743	born in 	ORGANIZATION745	124
LOCATION744	in 	ORGANIZATION745	124
PERSON743	simply plays for 	ORGANIZATION327	124
PERSON743	simply plays in 	LOCATION222	124
ORGANIZATION327	in 	LOCATION222	124
PERSON749	in 	LOCATION381	125
ORGANIZATION757		LOCATION104	126
ORGANIZATION757	in 	LOCATION105	126
LOCATION104	in 	LOCATION105	126
ORGANIZATION772	located 	LOCATION113	128
ORGANIZATION772	located in 	LOCATION105	128
LOCATION113	in 	LOCATION105	128
ORGANIZATION775	based 	LOCATION776	129
ORGANIZATION775	based in 	LOCATION686	129
LOCATION776	in 	LOCATION686	129
ORGANIZATION782		LOCATION589	130
ORGANIZATION782	in 	LOCATION783	130
LOCATION589	in 	LOCATION783	130
LOCATION68	in 	LOCATION258	131
PERSON791		PERSON792	132
PERSON791	in 	LOCATION793	132
PERSON792	in 	LOCATION793	132
PERSON812	born 	LOCATION813	134
PERSON812	born in 	LOCATION814	134
LOCATION813	in 	LOCATION814	134
PERSON812	plays for 	ORGANIZATION815	134
PERSON812	plays 	LOCATION145	134
ORGANIZATION815	plays 	LOCATION145	134
ORGANIZATION821	referred to 	ORGANIZATION822	135
ORGANIZATION821	based in 	LOCATION149	135
ORGANIZATION821	referred to 	ORGANIZATION822	135
ORGANIZATION821	based in 	LOCATION149	135
PERSON833	born in 	LOCATION301	136
PERSON833	plays for 	ORGANIZATION834	136
PERSON833	plays from 	ORGANIZATION374	136
ORGANIZATION834	plays from 	ORGANIZATION374	136
PERSON837	born in 	LOCATION838	137
PERSON837	simply 	LOCATION100	137
PERSON837	simply plays from 	LOCATION168	137
LOCATION100	plays from 	LOCATION168	137
PERSON844	born in 	LOCATION229	138
PERSON844		LOCATION100	138
PERSON844	plays for 	PERSON130	138
LOCATION100	plays for 	PERSON130	138
PERSON848	plays 	ORGANIZATION849	139
PERSON848	plays for 	ORGANIZATION850	139
ORGANIZATION849	for 	ORGANIZATION850	139
PERSON859	plays for 	ORGANIZATION860	140
ORGANIZATION103	back from 	PERSON198	141
PERSON872	plays for 	LOCATION873	142
PERSON882	born 	ORGANIZATION183	143
PERSON882	born in 	LOCATION863	143
ORGANIZATION183	in 	LOCATION863	143
PERSON882		LOCATION100	143
PERSON882	plays for 	ORGANIZATION180	143
LOCATION100	plays for 	ORGANIZATION180	143
PERSON885	1994 in 	LOCATION886	144
ORGANIZATION892	in 	LOCATION385	145
PERSON897	born in 	LOCATION898	146
PERSON897	plays for 	ORGANIZATION67	146
PERSON897	plays from 	LOCATION298	146
ORGANIZATION67	plays from 	LOCATION298	146
PERSON908	plays for 	ORGANIZATION691	147
PERSON909	plays for 	ORGANIZATION691	148
PERSON911	born 	LOCATION912	150
PERSON911	born in 	ORGANIZATION913	150
LOCATION912	in 	ORGANIZATION913	150
PERSON911		LOCATION512	150
PERSON911	plays for 	PERSON914	150
LOCATION512	plays for 	PERSON914	150
PERSON921	born in 	LOCATION922	153
PERSON921	plays for 	ORGANIZATION923	153
PERSON927		LOCATION512	156
PERSON927	plays for 	ORGANIZATION180	156
LOCATION512	plays for 	ORGANIZATION180	156
PERSON928	known 	PERSON929	157
PERSON929	plays for 	ORGANIZATION623	157
PERSON929	plays from 	ORGANIZATION678	157
